primary_ticker,post_count,bullish_pct,bearish_pct,neutral_pct,avg_confidence,avg_relevance,sarcastic_count,avg_engagement,low_confidence,low_sample
SPY,35,31.4,57.1,11.4,0.67,0.73,14,665.3,False,False
TSLA,8,12.5,50.0,37.5,0.51,0.5,4,1031.12,True,False
TACO,5,60.0,20.0,20.0,0.62,0.6,2,69.48,False,False
QQQ,4,50.0,50.0,0.0,0.78,0.8,1,340.75,False,True
META,4,25.0,50.0,25.0,0.75,0.85,1,287.8,False,True
INTC,4,100.0,0.0,0.0,0.72,0.78,0,1318.75,False,True
MSFT,3,0.0,100.0,0.0,0.77,0.8,2,381.43,False,True
SPX,3,66.7,33.3,0.0,0.67,0.77,0,78.1,False,True
MU,2,0.0,100.0,0.0,0.75,0.75,1,234.85,False,True
USO,2,50.0,50.0,0.0,0.75,0.85,0,65.15,False,True
WEN,2,0.0,50.0,50.0,0.4,0.2,2,33.6,True,True
LLY,2,50.0,50.0,0.0,0.7,0.85,1,1842.55,False,True
RDDT,2,50.0,0.0,50.0,0.5,0.5,1,65.25,True,True
PLTR,1,0.0,0.0,100.0,0.7,0.8,1,27.2,False,True
PSTH,1,0.0,100.0,0.0,0.8,0.7,1,453.0,False,True
RILYP,1,0.0,0.0,100.0,0.7,0.8,0,36.0,False,True
PL,1,0.0,0.0,100.0,0.6,0.7,0,572.4,False,True
PARA,1,0.0,100.0,0.0,0.7,0.8,1,161.9,False,True
AGI,1,100.0,0.0,0.0,0.7,0.6,0,106.1,False,True
SNDK,1,100.0,0.0,0.0,0.8,0.7,0,514.8,False,True
RIVN,1,100.0,0.0,0.0,0.3,0.4,0,100.7,True,True
SLV,1,100.0,0.0,0.0,0.8,0.9,0,55.9,False,True
OKLO,1,100.0,0.0,0.0,0.7,0.8,1,18.2,False,True
SPCE,1,100.0,0.0,0.0,0.7,0.8,0,1894.3,False,True
SUN,1,100.0,0.0,0.0,0.7,0.8,0,9.1,False,True
TLT,1,0.0,100.0,0.0,0.3,0.4,1,39.2,True,True
TTD,1,0.0,100.0,0.0,0.3,0.4,0,75.2,True,True
UAL,1,100.0,0.0,0.0,0.8,0.9,0,136.5,False,True
UCO,1,0.0,100.0,0.0,0.6,0.4,1,55.0,False,True
WMT,1,100.0,0.0,0.0,0.8,0.9,0,38.4,False,True
XLE,1,100.0,0.0,0.0,0.3,0.6,0,47.1,True,True
ONDS,1,100.0,0.0,0.0,0.6,0.7,0,18.0,False,True
NN,1,100.0,0.0,0.0,0.7,0.8,0,21.7,False,True
OIL,1,100.0,0.0,0.0,0.2,0.3,1,26.0,True,True
NVDA,1,100.0,0.0,0.0,0.4,0.3,1,298.3,True,True
ASTS,1,0.0,0.0,100.0,0.7,0.8,0,15.0,False,True
AVGO,1,100.0,0.0,0.0,0.8,0.9,0,249.3,False,True
BNO,1,0.0,100.0,0.0,0.7,0.8,0,58.1,False,True
BZ=F,1,100.0,0.0,0.0,0.8,0.9,0,92.7,False,True
CELH,1,0.0,100.0,0.0,0.8,0.9,0,44.3,False,True
COIN,1,100.0,0.0,0.0,0.7,0.8,0,124.6,False,True
COST,1,0.0,0.0,100.0,0.3,0.2,1,115.1,True,True
CVNA,1,0.0,100.0,0.0,0.8,0.9,0,11.4,False,True
DIA,1,0.0,100.0,0.0,0.6,0.7,1,265.4,False,True
DJT,1,0.0,100.0,0.0,0.6,0.7,1,133.7,False,True
DPZ,1,0.0,0.0,100.0,0.2,0.1,1,9656.8,True,True
DVN,1,0.0,100.0,0.0,0.7,0.6,1,15.8,False,True
ELF,1,100.0,0.0,0.0,0.6,0.7,0,15.0,False,True
GLD,1,100.0,0.0,0.0,0.7,0.8,0,36.5,False,True
GOLD,1,100.0,0.0,0.0,0.7,0.8,0,48.2,False,True
GOOGL,1,100.0,0.0,0.0,0.7,0.8,0,46.1,False,True
JPM,1,0.0,100.0,0.0,0.7,0.8,1,52.8,False,True
KOS,1,100.0,0.0,0.0,0.8,0.9,0,144.1,False,True
LEU,1,100.0,0.0,0.0,0.8,0.85,0,40.3,False,True
MSOS,1,100.0,0.0,0.0,0.7,0.8,0,264.1,False,True
NASDAQ,1,0.0,100.0,0.0,0.4,0.3,0,21.6,True,True
NBIS,1,100.0,0.0,0.0,0.9,0.8,0,270.6,False,True
AMZN,1,0.0,0.0,100.0,0.3,0.4,1,2593.4,True,True
XOM,1,0.0,0.0,100.0,0.7,0.8,0,27.5,False,True
